cuisine,calories,carbs,fat,protein,saturates,sugars,fibre,salt
italian,549.1261261261261,53.207207207207205,24.56756756756757,27.126126126126128,10.195495495495496,7.8108108108108105,5.415315315315316,1.2763963963963965
american,405.04285714285714,37.97714285714286,21.84285714285714,13.134285714285713,10.795714285714286,22.1,2.36,1.0791428571428572
chinese,358.42857142857144,26.34285714285714,16.6,24.97142857142857,5.314285714285714,6.894285714285715,3.4257142857142857,1.6260000000000001
thai,376.15625,22.63125,20.40625,25.46875,7.9375,8.5,3.325,1.6303125
french,497.12,38.656,30.68,16.672,13.708,23.76,2.28,0.8
japanese,355.9047619047619,30.776190476190475,18.285714285714285,15.571428571428571,5.714285714285714,10.961904761904762,3.8904761904761904,1.4904761904761905
indian,380.3333333333333,27.944444444444443,19.666666666666668,21.27777777777778,9.11111111111111,11.5,6.333333333333333,0.9788888888888889
british,504.29411764705884,51.26470588235294,26.21764705882353,17.00588235294118,12.205882352941176,21.941176470588236,2.605882352941176,1.0070588235294118
mexican,466.0,34.75,22.625,28.9375,7.0625,8.5625,6.75,1.3800000000000001
greek,529.5,33.166666666666664,27.666666666666668,33.5,10.916666666666666,8.666666666666666,4.75,1.635
