cuisine,calories,carbs,fat,saturates,sugars,salt
Other,0.1628518895314449,0.440844747136564,0.31443541927541924,0.35412034690300265,0.4765763476136036,0.18513762273776305
Italian,0.4902910401943751,1.0,0.5658783783783784,0.5815220635959698,0.05434645072188956,0.3969393363556408
American,0.12468583856935714,0.5018924743629609,0.3723620129870128,0.6530294659668338,0.9016422870530889,0.2325847577098704
Chinese,0.006404059932334448,0.12138692226858262,0.0,0.0,0.0,0.6882857927677266
Thai,0.05138729458675684,0.0,0.2703302556818181,0.31251662039548567,0.09521280938738151,0.6919380805072023
French,0.35832769453842434,0.5240622039437765,1.0,1.0,1.0,0.0
Japanese,0.0,0.2663815593316039,0.11972402597402582,0.047653997936411736,0.2411944782210576,0.575402436831654
Indian,0.061986466892218366,0.17376769995099325,0.2178030303030303,0.4523347740630824,0.27310166475481695,0.14901890304271032
British,0.3765317146675006,0.9364694450660684,0.6830845797125669,0.8210303299926729,0.8922246417689306,0.1724389889152307
Mexican,0.2793620106331561,0.3963470699344776,0.42791193181818177,0.20827349990958507,0.09891882720753642,0.4832370265631208
 healthy threshold,1.0,0.5680511553503084,0.24147727272727265,0.5582325472551085,0.18415723707109924,1.0
